MSRP,Engine HP,Engine Cylinders,city mpg,highway MPG
46135,335.0,6.0,19,26
40650,300.0,6.0,19,28
36350,300.0,6.0,20,28
29450,230.0,6.0,18,28
34500,230.0,6.0,18,28
31200,230.0,6.0,18,28
44100,300.0,6.0,17,26
39300,300.0,6.0,20,28
36900,230.0,6.0,18,28
37200,230.0,6.0,18,27
39600,300.0,6.0,20,28
31500,230.0,6.0,19,28
44400,300.0,6.0,19,28
37200,230.0,6.0,19,28
48250,320.0,6.0,18,25
43550,320.0,6.0,20,28
2000,172.0,6.0,17,24
2000,172.0,6.0,16,20
2000,172.0,6.0,16,21
2000,172.0,6.0,17,24
2000,172.0,6.0,16,20
2000,172.0,6.0,16,21
2000,172.0,6.0,16,21
2000,172.0,6.0,16,22
2000,172.0,6.0,17,22
2000,172.0,6.0,16,22
2000,172.0,6.0,16,21
27495,160.0,4.0,26,35
24995,160.0,4.0,26,35
28195,160.0,4.0,26,35
2000,130.0,4.0,18,26
2000,158.0,6.0,17,25
2000,158.0,6.0,17,25
2000,130.0,4.0,18,26
2000,130.0,4.0,18,26
2000,158.0,6.0,17,25
32850,240.0,4.0,23,35
38650,240.0,4.0,23,34
48750,320.0,6.0,20,31
34850,240.0,4.0,23,35
40650,240.0,4.0,22,34
44150,320.0,6.0,20,31
32850,240.0,4.0,22,34
46150,320.0,6.0,20,30
50750,320.0,6.0,20,30
46450,335.0,6.0,21,31
49050,335.0,6.0,21,32
51050,335.0,6.0,21,32
44450,335.0,6.0,21,32
38950,248.0,4.0,23,34
33150,248.0,4.0,24,35
35150,248.0,4.0,24,33
40950,248.0,4.0,23,33
2000,162.0,5.0,16,20
2000,162.0,5.0,15,22
2000,162.0,5.0,15,23
2000,217.0,5.0,16,22
2000,217.0,5.0,16,22
2000,162.0,5.0,16,20
25170,184.0,4.0,23,36
23950,184.0,4.0,23,36
29370,295.0,6.0,18,29
21995,184.0,4.0,23,36
26625,184.0,4.0,23,36
30825,295.0,6.0,18,29
21995,184.0,4.0,23,36
27795,184.0,4.0,23,36
31785,295.0,6.0,18,29
29905,295.0,6.0,18,29
22490,184.0,4.0,23,36
27570,184.0,4.0,23,36
25690,184.0,4.0,23,36
24490,184.0,4.0,23,36
29905,295.0,6.0,18,28
31785,295.0,6.0,18,28
26685,184.0,4.0,23,36
22490,184.0,4.0,23,36
25690,184.0,4.0,23,36
30900,295.0,6.0,18,28
27795,184.0,4.0,23,36
21995,184.0,4.0,23,36
24490,184.0,4.0,23,36
2000,115.0,4.0,26,36
2000,140.0,4.0,21,29
2000,140.0,4.0,21,29
2000,115.0,4.0,25,35
2000,115.0,4.0,25,35
2073,140.0,4.0,20,28
3713,155.0,4.0,19,26
3520,155.0,4.0,19,26
3910,155.0,4.0,19,26
4182,155.0,4.0,19,26
4107,155.0,4.0,19,26
4299,155.0,4.0,20,25
4693,155.0,4.0,20,25
4107,155.0,4.0,20,25
2000,114.0,4.0,19,26
2000,114.0,4.0,18,23
2000,114.0,4.0,19,26
2000,114.0,4.0,19,26
2000,114.0,4.0,19,26
2000,114.0,4.0,19,26
2000,114.0,4.0,18,25
16020,100.0,4.0,29,35
14530,100.0,4.0,29,35
16860,100.0,4.0,28,34
15370,100.0,4.0,28,34
17050,100.0,4.0,28,34
15560,100.0,4.0,28,34
16210,100.0,4.0,29,35
14720,100.0,4.0,29,35
17050,100.0,4.0,28,34
15560,100.0,4.0,28,34
16210,100.0,4.0,29,35
14720,100.0,4.0,29,35
47250,300.0,6.0,20,30
41850,240.0,4.0,22,33
43000,240.0,4.0,22,34
49200,300.0,6.0,20,30
49650,320.0,6.0,20,30
43950,248.0,4.0,23,33
41950,241.0,4.0,22,33
50150,335.0,6.0,25,33
37500,240.0,4.0,23,35
43750,300.0,6.0,21,32
39000,180.0,4.0,32,45
39500,240.0,4.0,22,33
34950,180.0,4.0,23,35
45750,300.0,6.0,20,30
43450,180.0,4.0,31,43
41000,180.0,4.0,31,43
32950,180.0,4.0,24,36
41850,180.0,4.0,30,40
47800,320.0,6.0,22,33
39850,180.0,4.0,32,42
38350,240.0,4.0,22,34
40350,240.0,4.0,22,34
38350,240.0,4.0,22,34
42650,240.0,4.0,22,34
33150,180.0,4.0,24,36
35150,180.0,4.0,23,35
44150,180.0,4.0,30,40
45800,320.0,6.0,22,33
38750,248.0,4.0,23,34
35450,180.0,4.0,23,34
33450,180.0,4.0,23,35
40750,248.0,4.0,23,33
42250,180.0,4.0,30,40
42950,248.0,4.0,23,33
40250,180.0,4.0,32,42
49900,320.0,6.0,21,31
47900,320.0,6.0,21,32
44450,180.0,4.0,30,40
2232,177.0,6.0,15,19
2000,177.0,6.0,15,20
2000,158.0,6.0,17,22
2105,177.0,6.0,15,20
2199,177.0,6.0,15,18
2000,177.0,6.0,16,22
2124,177.0,6.0,15,19
3552,228.0,6.0,14,21
2179,217.0,6.0,15,22
2000,121.0,5.0,23,30
2000,121.0,5.0,23,29
2377,228.0,6.0,14,17
3814,228.0,6.0,15,21
2207,177.0,6.0,15,19
2000,177.0,6.0,15,20
2248,217.0,6.0,15,21
2065,177.0,6.0,16,22
2547,148.0,6.0,18,22
2282,177.0,6.0,15,18
2000,158.0,6.0,18,23
2544,177.0,6.0,15,19
2397,217.0,6.0,17,22
2000,121.0,5.0,23,30
4174,228.0,6.0,14,21
2187,217.0,6.0,17,22
2729,148.0,6.0,18,22
2433,177.0,6.0,15,19
2247,194.0,6.0,17,23
2540,228.0,6.0,14,18
3941,218.0,6.0,17,23
3295,161.0,6.0,17,22
6008,320.0,6.0,16,22
6710,320.0,6.0,16,22
3701,161.0,6.0,17,22
4671,218.0,6.0,17,23
5306,218.0,6.0,17,23
7600,320.0,6.0,16,22
4090,161.0,6.0,17,22
37570,300.0,6.0,18,27
31695,292.0,6.0,19,31
38070,292.0,6.0,19,31
44895,292.0,6.0,18,27
35070,300.0,6.0,19,31
42395,292.0,6.0,19,31
34195,292.0,6.0,18,27
40570,292.0,6.0,18,27
38095,300.0,6.0,18,27
35595,300.0,6.0,19,31
45190,292.0,6.0,18,27
32260,292.0,6.0,19,31
37755,292.0,6.0,18,27
41055,292.0,6.0,18,27
36090,300.0,6.0,19,31
42690,292.0,6.0,19,31
38555,292.0,6.0,19,31
35255,292.0,6.0,19,31
38590,300.0,6.0,18,27
34760,292.0,6.0,18,27
41135,292.0,6.0,18,27
45270,292.0,6.0,18,27
38670,300.0,6.0,18,27
38635,292.0,6.0,19,30
36170,300.0,6.0,19,30
38175,300.0,6.0,18,27
32340,292.0,6.0,19,30
42770,292.0,6.0,19,30
34840,292.0,6.0,18,27
35675,300.0,6.0,19,30
32065,250.0,6.0,16,24
28540,250.0,6.0,16,24
32315,255.0,6.0,16,25
28885,250.0,6.0,16,25
29185,250.0,6.0,16,25
32615,255.0,6.0,16,25
2847,222.0,6.0,16,22
2488,222.0,6.0,16,22
2683,300.0,6.0,16,22
2553,222.0,6.0,16,22
3049,300.0,6.0,16,22
2774,222.0,6.0,17,22
2702,222.0,6.0,17,22
3101,222.0,6.0,17,22
3510,300.0,6.0,16,22
3107,222.0,6.0,17,22
3624,222.0,6.0,17,22
3185,222.0,6.0,17,22
2000,82.0,4.0,25,33
2000,82.0,4.0,25,33
2000,82.0,4.0,24,32
2000,82.0,4.0,25,33
2144,134.0,6.0,19,23
2098,134.0,6.0,19,23
2178,134.0,6.0,19,23
2311,134.0,6.0,19,23
36550,306.0,6.0,17,23
41250,306.0,6.0,17,23
30600,306.0,6.0,17,24
37100,306.0,6.0,17,24
27900,306.0,6.0,18,25
32700,306.0,6.0,18,25
40250,306.0,6.0,17,24
35550,306.0,6.0,17,24
36100,306.0,6.0,18,25
33200,306.0,6.0,17,24
37900,306.0,6.0,17,24
29600,306.0,6.0,18,25
38070,306.0,6.0,18,25
38900,306.0,6.0,17,23
33840,306.0,6.0,17,24
38630,306.0,6.0,17,24
39630,306.0,6.0,17,23
37740,306.0,6.0,17,24
41980,306.0,6.0,17,23
36280,306.0,6.0,17,24
36740,306.0,6.0,18,25
40980,306.0,6.0,17,24
38680,306.0,6.0,18,25
28510,306.0,6.0,18,25
30210,306.0,6.0,18,25
31210,306.0,6.0,17,24
33340,306.0,6.0,18,25
37280,306.0,6.0,17,23
41570,306.0,6.0,17,24
36870,306.0,6.0,17,24
42570,306.0,6.0,17,23
37870,306.0,6.0,17,23
39220,306.0,6.0,17,24
40220,306.0,6.0,17,23
160829,400.0,8.0,10,15
140615,400.0,8.0,10,15
150694,400.0,8.0,10,15
170829,400.0,8.0,10,15
165986,400.0,8.0,10,15
154090,400.0,8.0,10,15
143860,400.0,8.0,10,15
176287,400.0,8.0,10,15
157767,400.0,8.0,10,15
187124,425.0,8.0,10,15
147332,400.0,8.0,10,15
169900,400.0,8.0,10,15
180408,400.0,8.0,10,15
46790,350.0,6.0,19,26
48100,332.0,6.0,17,24
29990,332.0,6.0,18,26
41820,332.0,6.0,18,25
31290,332.0,6.0,19,26
34870,332.0,6.0,19,26
33570,332.0,6.0,18,26
46570,332.0,6.0,18,25
37970,332.0,6.0,18,26
37070,332.0,6.0,18,26
49400,332.0,6.0,18,25
45270,332.0,6.0,17,24
39270,332.0,6.0,19,26
